"cancel","64"
"rehouse","1"
"prepare","646"
"recline","13"
"govern","90"
"mince","1"
"supplant","8"
"tinkle","7"
"analyse","54"
"resemble","233"
"discourage","28"
"oversee","14"
"pretend","420"
"rupture","1"
"wreck","21"
"proffer","5"
"pick","711"
"afflict","3"
"constrict","9"
"reproach","53"
"fluctuate","3"
"kidnap","41"
"reposition","2"
"warrant","6"
"calculate","122"
"authorize","14"
"conceal","311"
"groom","2"
"sniff","4"
"possess","225"
"coincide","19"
"require","343"
"scratch","3"
"devise","40"
"click","5"
"clutch","139"
"temper","3"
"evacuate","4"
"wink","82"
"eavesdrop","2"
"rejoice","38"
"dawn","4"
"wing","4"
"placate","2"
"tickle","2"
"object","93"
"wind","21"
"interject","5"
"harbour","3"
"hang","1033"
"throb","7"
"SET","1"
"achieve","219"
"overdo","16"
"roll","141"
"blur","2"
"suffice","19"
"concede","42"
"turn","4824"
"elect","64"
"deluge","1"
"result","13"
"yowl","1"
"wreak","3"
"evaporate","6"
"commission","12"
"muff","1"
"quiet","13"
"flip","25"
"disband","5"
"connect","110"
"hand","779"
"pervert","1"
"rescind","1"
"resume","53"
"rebuild","7"
"barricade","2"
"address","145"
"twiddle","4"
"deaden","1"
"excavate","1"
"ramble","3"
"wipe","419"
"halt","4"
"photograph","58"
"overwhelm","19"
"police","2"
"throw","701"
"thank","1130"
"poach","1"
"disguise","7"
"wrap","156"
"discuss","152"
"reimburse","1"
"correct","143"
"resolve","132"
"lade","3"
"unfurl","3"
"chill","1"
"confront","11"
"reunite","2"
"dominate","80"
"imitate","97"
"empty","30"
"deploy","5"
"wish","1422"
"compute","6"
"rearrange","8"
"reproduce","5"
"tie","218"
"exceed","23"
"enlarge","19"
"pervade","5"
"disperse","46"
"tip","15"
"implement","9"
"avert","48"
"export","7"
"laugh","1502"
"dismount","10"
"chime","2"
"murder","219"
"incinerate","5"
"hanker","3"
"pat","36"
"erode","2"
"paw","7"
"pay","1296"
"check","362"
"beset","3"
"list","9"
"lack","130"
"frustrate","2"
"remunerate","1"
"importune","1"
"revise","8"
"ascend","26"
"harm","73"
"avenge","22"
"embody","6"
"remove","537"
"muster","14"
"outstrip","3"
"emancipate","1"
"envisage","2"
"root","4"
"wrestle","32"
"motivate","2"
"ricochet","5"
"spoil","133"
"multiply","16"
"lend","103"
"live","1002"
"worsen","7"
"hypothesize","1"
"pilot","1"
"authorise","2"
"perform","222"
"concentrate","182"
"expose","144"
"cheer","55"
"unfetter","1"
"bemoan","1"
"avow","3"
"better","2"
"taint","3"
"tinker","1"
"populate","2"
"puncture","1"
"service","1"
"permit","193"
"inject","8"
"upraise","1"
"pocket","1"
"pile","15"
"channel","1"
"focus","71"
"sate","1"
"hamper","11"
"exterminate","1"
"approach","517"
"overshadow","9"
"usher","12"
"misappropriate","1"
"conjecture","5"
"peg","1"
"experiment","11"
"flop","4"
"bump","66"
"hate","675"
"block","26"
"ordain","3"
"revive","31"
"mull","8"
"write","3439"
"flow","96"
"pet","14"
"order","341"
"wage","31"
"explicate","2"
"modulate","1"
"proceed","86"
"inter","4"
"understand","3405"
"dismiss","74"
"birth","5"
"gore","1"
"propose","120"
"destine","9"
"flog","1"
"remit","1"
"glint","17"
"install","11"
"even","1"
"analyze","65"
"ensue","24"
"coach","1"
"wait","3885"
"blackmail","18"
"save","888"
"stagger","3"
"matter","231"
"restrict","33"
"enliven","5"
"top","5"
"peep","14"
"peer","64"
"imprison","39"
"ladle","1"
"tot","1"
"wail","7"
"persecute","24"
"tow","27"
"REQUIRE","1"
"roast","19"
"haul","18"
"avail","5"
"question","153"
"peel","13"
"foreordain","3"
"jostle","18"
"produce","288"
"picture","54"
"denounce","29"
"peek","9"
"verge","1"
"cheat","7"
"disengage","9"
"underrate","3"
"disable","10"
"regard","298"
"horrify","27"
"resurrect","4"
"infect","34"
"chronicle","1"
"infiltrate","15"
"prohibit","20"
"cop","1"
"reign","40"
"reverberate","6"
"hypothesise","1"
"foresee","59"
"associate","76"
"pacify","4"
"pray","311"
"crawl","92"
"plead","76"
"gleam","65"
"wake","866"
"detract","1"
"lag","5"
"glean","1"
"rejoin","11"
"pin","1"
"function","71"
"raise","1183"
"twirl","12"
"revere","4"
"stock","3"
"sneak","2"
"suspend","48"
"void","2"
"lay","672"
"swap","20"
"dispense","3"
"fondle","6"
"pardon","29"
"crave","16"
"sway","25"
"revert","18"
"splinter","1"
"belittle","1"
"tutor","1"
"reconcile","46"
"impugn","1"
"condition","15"
"annul","1"
"tempt","43"
"peddle","4"
"improve","139"
"snow","56"
"try","5867"
"cross-question","1"
"vanquish","10"
"twist","86"
"absolve","1"
"perplex","5"
"emanate","20"
"procrastinate","2"
"locate","130"
"unite","52"
"censure","2"
"chatter","5"
"personate","2"
"accost","18"
"cause","464"
"muse","33"
"combat","1"
"despise","57"
"indulge","12"
"wound","59"
"pursue","141"
"design","59"
"convey","74"
"busy","6"
"land","177"
"redeem","15"
"bust","9"
"contaminate","1"
"allude","4"
"burn","513"
"wring","4"
"accord","13"
"forfeit","3"
"cry","1975"
"disintegrate","11"
"rampage","1"
"backfire","1"
"probe","6"
"doctor","1"
"groan","5"
"bury","318"
"conduct","76"
"obey","157"
"plunder","1"
"botch","1"
"foment","1"
"grapple","2"
"respond","186"
"tidy","35"
"sketch","12"
"ply","1"
"sport","6"
"walk","2423"
"glisten","43"
"attire","1"
"tug","46"
"marry","480"
"pity","40"
"absorb","53"
"grieve","14"
"supply","57"
"induct","1"
"concern","189"
"circulate","34"
"fracture","5"
"resuscitate","1"
"incubate","1"
"rectify","15"
"lessen","7"
"refrain","10"
"merge","30"
"let","1852"
"state","92"
"press","546"
"dock","4"
"welcome","179"
"snub","1"
"drift","35"
"want","11369"
"pace","146"
"exclaim","253"
"forecast","3"
"mute","1"
"uncover","65"
"deteriorate","8"
"recognize","575"
