"cancel","cancelled","pf"," Grillfest cancelled?"
"prepare","prepared","pf"," Furthermore, the full integration of Bulgaria and Romania into the Community economic policy coordination framework is to be prepared in view of their accession in 2007."
"govern","govern","impf"," - a proposed Decision based on Title VI EU Treaty ( police and judicial cooperation in criminal matters ) which will govern the use of SIS for third pillar purposes, further referred to as "" the proposed Decision "";"
"underline","underlined","pf"," It should be underlined that the proposals provide for a meeting at least once a year, but that it is to be considered as a minimum."
"bring","brought","impf"," If there is no convincing justification, they should be brought back to their current duration, particularly in the case of alerts for the purpose of discreet surveillance or specific checks."
"analyse","analysed","impf"," The EDPS has analysed the proposal and concludes that generally speaking the proposal provides for a layered structure of protection."
"kiss","kiss","impf"," Did youjust kiss me?"
"urge","urges","pf"," Therefore, the EDPS urges the Commission to either withdraw this provision, or redraft it in a way, based on existing legislation, that allows the individuals to know which measures exactly the authorities can take regarding him/ her."
"advance","advance","impf"," The Swedish Presidency will work to advance the enlargement process in accordance with the commitments made by the EU, and strictly on the basis of the applicable criteria."
"offer","offers","pf"," It offers the possibility to reduce the overall cost in a consistent manner and to avoid natural redundancies of heterogeneous elements."
"fit","fit","impf"," Access by many new authorities which do not fit in with the original "" purpose of controls on persons and objects "" should be accompanied by more stringent safeguards."
"suffer","suffered","impf"," - medical, psychological and other assistance, including specialised assistance to women and girls who have fallen victim to harassment in any form or to criminal acts ( rape or violence ) or have suffered because of poor conditions as refugees,"
"trip","trips","impf"," I was minding my own business when Tommy trips me."
"fix","fixing","pf"," Council Regulation ( EEC ) No 2076/ 92 of 30 June 1992 fixing the premiums for leaf tobacco by group of tobacco varieties and the processing quotas allocated by group of varieties and by Member State ( OJ L 215, 30.7.1992, p. 77 ), as last amended by Regulation ( EC ) No 164/ 94 ( OJ L 24, 29.1.1994, p. 4 )."
"appreciate","appreciate","impf"," I appreciate everything you did."
"pick","pick","pf"," Come and pick me up."
"record","recorded","impf"," Liabilities are recorded at the eligible amount when a request for payment meets the predefined criteria."
"calculate","calculated","pf"," In order to apply accrual accounting principles, the authorising officer has calculated the amount of advances to be recovered for which recovery orders have yet to be issued."
"happen","happens","pf"," If this happens, the Danish Presidency could be tasked with yet another difficult renegotiation of EU treaties."
"grow","grown","pf"," Tourism is booming, and the export sector has grown by more than ten percent."
"pass","passed","impf"," The Lamborghini passed me by."
"possess","possessing","impf"," Part of this appropriation also covers the setting-up of information and observation points on the premises of European social partners possessing the necessary expertise in the field of action covered by this item."
"require","require","impf"," ( 8 ) Do Articles 44 to 47 of Decision No. 1/ 95 require that traders be informed, or otherwise be made aware, of information given pursuant to Article 46 of Decision No. 1/ 95 or a notification made pursuant to Article 47(2 ) of the Additional Protocol to the Ankara Agreement?"
"extend","extended","impf"," Although the principle of retention remains the same ( as a general rule, an alert should be erased from the SIS II as soon as the action requested by the alert is taken ), the proposals will have as a result that the retention period for the alerts has been generally extended."
"stop","stop","impf"," - the Barcelona European Council, which called for a progressive increase in the effective average age at which people stop working in the European Union,"
"institute","institutes","pf"," Article 15 ( 3 ) of the Regulation institutes a right to review or appeal before a judicial authority with respect to the decision to issue an alert, when this decision is taken by an administrative authority."
