"analyzovat","impf","[study, resolve, assay, examine, analyze, dissect, analyse, decompose, anatomize, parse, canvass]"
"apelovat","impf","[appeal]"
"argumentovat","impf","[debate, reason, make a point, argue]"
"asistovat","impf","[help, assist, aid]"
"balit","impf","[package, hit on, wrap up, infold, swathe, pack, wrap]"
"balit se","impf","[]"
"bát se","impf","[worry, be scare, have fear, be, be afraid, suspect, dread, be scared, afraid be of st., afraid, be afraid of, afraid be, scared, fear]"
"bavit","impf","[entertain, play, amuse, divert, enjoy, sport, fun]"
"bavit se","impf","[have a good time, enjoy oneself, amuse oneself, have fun, chat, disport, talk, be amused, party, chit-chat, divert oneself]"
"bdít","impf","[tend, wake, watch, watch over, monitor, stay up]"
"běhat","impf","[jog, scamper, run, dash]"
"běžet","impf","[operate, trot, work, scoot, sprint, run, dash, rush, speed]"
"bít","impf","[throb, trounce, knock, run across, larrup, pulsate, run up against, score, hit, pound, find, beat, club, stub, thrash, attain, catch, fight, chime, swat, batter, strike, smack, encounter, poke, wallop, thump, lash]"
"bít se","impf","[]"
"blahopřát","impf","[congratulate, felicitate]"
"blížit se","impf","[draw near, get nearer, get, come on, near, draw nearer, creep up, approach, come nearer, close in, closer]"
"bloudit","impf","[stray, swan, vagabond, range, saunter, ramble, tramp, cast, wander, get lost, rove, roam, drift]"
"bodat","impf","[stitch, quilt, jab, tingle, sting, spur, prick, pique, stab, pick, thrust, stick, goad, pierce]"
"bodnout","pf","[stitch, quilt, thorn, skewer, jab, sting, spur, prick, pique, stab, pick, twinge, stick, pierce]"
"bodovat","impf","[score, tally]"
"bojovat","impf","[do battle, militate, dispute, engage in combat, tussle, contest, oppugn, war, combat, battle, strive, wrestle, campaign, fight, contend, struggle, champion, conflict]"
"bolet","impf","[ache, pain, ail, rankle, be sore, sting, hurt, smart, fester]"
"bombardovat","impf","[blitz, barrage, shell, pelt, strafe, bombard, bomb]"
"bránit","impf","[prohibit, vindicate, maintain, stand up for, stymie, hamper, advocate, obliterate, trammel, prevent, defend, assert, hinder, restrain, protect, stickle, cramp, halter, obstruct, obviate, stop, forestall, keep, impede, support, champion]"
"brát","impf","[take, dig, bite, seize, wreak, earn, marry, have, do, nibble, accept]"
"vzít","pf","[assault, ravish, take by force, seize, clear, capture, vitiate, do, accept, take, rape, pick, wreak, violate, have, take away, withdraw]"
"brát se","impf","[get married]"
"vzít se","pf","[get married, marry]"
"brát si","impf","[]"
"vzít si","pf","[get, espouse]"
"brečet","impf","[blubber, cry, weep]"
"bručet","impf","[do time, grunt, mutter, snarl, growl, grouch]"
"brzdit","impf","[brake, stunt, throttle, obstruct, decelerate, skid, hinder, inhibit, hamper, impede, curb, retard]"
"budit","impf","[rouse, wake, awaken, cause, excite, wake up, draw, revive, stir, bring forth, generate]"
"budit se","impf","[awaken, wake up]"
"budovat","impf","[build, organize, craft, put up, raise, set up, construct, erect, make, establish, frame]"
"bušit","impf","[pit-a-pat, pound, palpitate, throb, knock, pant, hammer, batter, baste, thump, beat]"
"bydlet","impf","[occupy, inhabit, bide, reside, settle, dwell, abide, people, room, stay, shack, populate, lodge, live, quarter]"
"bydlit","impf","[occupy, inhabit, reside, dwell, house, live, stay]"
"být","impf","[exist, boggle, compare, be, have, there is, subsist, while, become]"
"cestovat","impf","[fare, move, journey, go, get around, tour, voyage, get about, trek, locomote, trip, go around, wander, travel, make a trip]"
"cítit","impf","[finger, nose, whiff, sniff, taste, feel, give off an odour, touch, sense, smell, reek, fell, scent, grope, wind]"
"cítit se","impf","[feel]"
"cpát","impf","[force-feed, cram, engorge, jam, stuff]"
"cpát se","impf","[pig-out, gorge, gormandize]"
"ctít","impf","[reward, honour, esteem, prise, honor, prize, respect, observe, treasure, revere, worship, value, venerate]"
"cvičit","impf","[prepare, practise, practice, work out, school, exercise, develop, educate, drill, make, break in, train]"
"čekat","impf","[expect, wait, bide, hang on, anticipate, await, carry, tarry]"
"čekat se","impf","[]"
"čelit","impf","[face up to, confront, counter, face, strive, meet, envisage, stand up to, weather, brave, oppose, be up against, front, endure, face up, breast]"
"čerpat","impf","[extract, scoop, draw, pump, derive]"
"číhat","impf","[lurk, scupper, waylay, watch, lie in wait, ambuscade, bushwhack]"
"činit","impf","[tan, amount, move, total, act, be, come, do, make, hold, account for sth]"
"činit se","impf","[get busy]"
"číst","impf","[Read, play, see, read, dip into, peruse]"
"čistit","impf","[sweep, groom, treat, distill, clear, launder, depurate, refine, cleanse, purify, clean, sublimate, preen, fine, scour]"
"darovat","pf","[gift, dedicate, give, make a present, pass, donate, present, favour, hand]"
"dařit se","impf","[flourish, do well, go on, come along, get on well]"
"dávat","impf","[hand out, give, afford, pass, yield, render, put, return, hand]"
"dát","pf","[add, give, set, issue, belt, lay, sell, bestow, put, impart, quarantine, place, grant, present, hand]"
"dávat se","impf","[]"
"dát se","pf","[]"
"dávat si","impf","[]"
"dát si","pf","[]"
"dbát","impf","[mind, comply, pay attention to, take heed, heed, follow, observe, listen, respect, tend, see, take care, pay attention, take notice of, care]"
"děkovat","impf","[thank]"
"děkovat se","impf","[thank]"
"dělat","impf","[profess, amount, making, rise to, work, prosecute, go, perform, do, execute, amount to, take, act, come to, create, make]"
"dělat se","impf","[]"
"dělat si","impf","[]"
"dělit","impf","[deal, separate, subdivide, impart, part, divide, share]"
"dělit se","impf","[divide, share]"
"děsit","impf","[appal, scare, horrify]"
"děsit se","impf","[dread, abominate, abhor, fear]"
"diktovat","impf","[dictate]"
"dirigovat","impf","[conduct, direct, control, steer, preside, lead]"
"diskutovat","impf","[debate, dispute, moot, argue, talk, consult, agitate, discuss, canvass]"
"disponovat","impf","[dispose of, dispose]"
"dívat se","impf","[see, view, peep, watch, gaze, regard, catch, look at, look, spy]"
"divit se","impf","[be surprised, inquire, marvel, be amazed, enquire, wonder]"
"dlužit","impf","[owing, owe]"
"dobíhat","impf","[run down, ramp down]"
"doběhnout","pf","[bamboozle]"
"dobývat","impf","[mine, extract, dig for, quarry]"
"dobýt","pf","[appropriate, take, take by storm, conquer, seize, capture, gain]"
"dobývat se","impf","[]"
"docilovat","impf","[]"
"docílit","pf","[accomplish, achieve, reach, attain, contrive, command]"
"dočítat","impf","[]"
"dočíst","pf","[finish]"
"dočítat se","impf","[]"
"dočíst se","pf","[]"
"dočkat","pf","[]"
"dočkat se","pf","[live to see, wait for, wait until]"
"dodávat","impf","[add, give, provide, deliver, supply]"
"dodat","pf","[add, subjoin, deliver, ship, add on, toss in, supply, furnish, add in, provide, supply sb with st, slip in, impart, supplement, append, hand]"
"dodržovat","impf","[keep, adhere, abide, follow, observe, respect, abide by]"
"dodržet","pf","[comply, keep, abide, comply with, follow, fulfil, observe]"
"dohodovat","impf","[]"
"dohodnout","pf","[negotiate, arrange, adjust, contract, conclude, settle, concert, agree, firm up, close]"
"dohodovat se","impf","[]"
"dohodnout se","pf","[agreement, arrange, settle, agree, come to terms, settle on]"
"dohánět","impf","[catch up, reach, make up for, drive]"
"dohnat","pf","[run down, catch up, drive to, impel, force, drive, shepherd, catch up with, force into]"
"dohonit","pf","[draw up, catch up, overhaul, catch, overtake, catch up with]"
"dohlédat","impf","[]"
"dohlížet","impf","[patrol, oversaw, tend, police, supervise, inspect, survey, control, oversee, superintend, look, manage]"
"dohlédnout","pf","[]"
"dohrávat si","impf","[]"
